Sample	>10	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>500	>1k	>100	>10k+	>5k	>50
Kiley_B_DrsuR_-O2_B	23.84137225313555										6.394656133044004	6.5096285104434495	30.743311378730926	1.3670291257264178	0.6537216842054638	14.676236572450849
Kiley_B_DrsuR_-O2_C	21.827651047057405										7.6696962717544075	7.444302898724533	32.6793572032	1.362704656115336	1.0622184714011946	14.686468208445906
Kiley_B_WT_+O2_Ctrl_A	25.54069924511051										4.490581290118559	5.245645650976682	25.736694912367923	1.7176144760163954	0.907187220402017	14.077550435080083
Kiley_B_WT_+O2_Ctrl_B	28.369822690661383										4.270112872260405	4.619524829420248	25.342702079759448	1.859782210849203	0.930938404239247	15.010051974468208
Kiley_B_WT_+O2_Ctrl_C	24.305727886603254										4.449401705178475	4.979562162274063	24.9345242766208	1.7578317067536795	0.884366564168629	13.44597803895635
Kiley_B_WT_+O2_Paraquat_A	24.041354281331444										4.825434585239395	4.78665675731359	25.01514687609843	1.5023747932396323	0.7246473574192238	12.875863456770151
Kiley_B_WT_+O2_Paraquat_B	26.879781769880335										4.4377937869131845	3.8323189580107595	23.02232356501157	1.3512450501357673	0.0	13.631072503890362
Kiley_B_WT_+O2_Paraquat_C	22.594331979623913										6.404002048795886	6.814310634397598	30.947202031002753	1.8749488178315086	1.4227358627986786	14.12571738609094
Kiley_B_WT_-O2_Ctrl_A	23.984880474219526										6.7027542947075585	6.425995237025531	31.859918955829837	1.2388682496016534	0.22235079303655556	15.234181827803205
Kiley_B_WT_-O2_Ctrl_B	27.571944901143326										4.548611440155675	3.263553956018971	25.60347335357284	0.5842219537425182	0.5021255761177502	15.161810816938697
Kiley_B_WT_-O2_Ctrl_C	23.866941317517444										6.7452704518164	6.2056889624539595	32.14234348574054	1.2879262496597697	0.46500447639677794	15.577082667794956
Kiley_B_WT_-O2_NoFe_A	16.983537820935766										11.245004318642321	14.154299702224115	29.22157180298187	0.5480644753065429	2.223654912671102	11.211236064374978
Kiley_B_WT_-O2_NoFe_B	15.217177207764474										11.417574520048344	16.090050304065464	29.298080358755733	1.006239486532061	2.3616616573039484	10.523741219981263
Kiley_B_WT_-O2_NoFe_C	16.447352031020948										11.00957767858838	14.598380774969383	30.707310466262232	0.4412795660744385	1.9550691658153743	11.463390490168914
Kiley_B_WT_-O2_NoFe_DIP_A	26.51977436786917										5.2934795295132355	4.59451806782771	27.769352222324077	1.1230486382781864	0.0	15.428687747739136
Kiley_B_WT_-O2_NoFe_DIP_B	22.758603560379896										6.991631586029086	7.203736171019587	31.45192289037916	1.3433431278563461	0.47615746311638213	15.035881840854199
Kiley_B_WT_-O2_NoFe_DIP_C	18.776793243124388										9.599973443193857	9.632982901798753	34.800920554814965	1.4545204923419086	1.3006229213010034	13.532119198624098
Kiley_B_WT_-O2_Peroxide_A	14.928593896121239										12.266758116867175	16.844028049970497	31.457316533343583	0.9562511951530376	1.9165292098051094	10.705378595427877
Kiley_B_WT_-O2_Peroxide_C	18.005333796452376										10.799919064662491	13.070775911163397	31.76469000210329	1.0194762413157568	0.5508054228331767	12.31341845476778
SRX10341586	25.916718649868546										4.455037910999643	4.218740125270268	19.380647163197857	0.18031798096128895	0.34163903531501266	10.3238392237477
SRX10341587	23.52294685449832										5.268370335539409	5.499029801998012	18.676030896708724	0.24391037226609524	0.4847572984932872	9.145546653154343
SRX10341588	26.2044693742635										4.525840667202787	3.6819566176463785	18.38359254015126	0.27250777316872493	0.47110045674587037	10.45202774752549
SRX10341589	24.763535298342017										2.4652875428205085	4.169867951399167	13.482785702315352	9.063414806348323	3.115093098808633	9.133435152569207
SRX10341590	21.867760539205896										5.2204653052731445	4.794229718753322	19.43208756356243	3.608273487545393	1.3422574929593718	9.223411015028493
SRX10341591	23.786509675872672										4.551965120157839	3.7678812183949137	18.780844630337878	2.3694318972784183	0.6792876931377823	9.69361109346672
SRX10341592	23.858780358127508										6.212178151441267	5.418666322159353	21.203610094992474	0.44779498312228805	0.17110364817885115	9.582104977008555
SRX10341593	24.399472796182984										5.54051921882708	5.281837928556631	20.6696746904166	0.4647002801022835	0.1648813377500766	9.589002592106993
SRX10341594	24.140122897068462										5.937492468311732	6.192492196251477	20.92538004880332	0.48796792334584893	0.5857501911651809	9.754112757698698
