Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures
SRX3316549	1431566	0	85.822346630311	0	0	39273358	45761226	0	0	79538	24524	0	0	0	0	2179005	2773235
SRX3316550	2032662	0	85.62262654006835	0	0	47213640	55141546	0	0	93304	30359	0	0	0	0	2640905	3130676
SRX3316551	1973286	0	83.89961888502093	0	0	49122606	58549260	0	0	459374	33770	0	0	0	0	2095172	4865052
SRX3316552	1900624	0	83.83247164675002	0	0	44760965	53393350	0	0	76394	22960	0	0	0	0	2737565	3894842
SRX3316553	2208940	0	83.90693635797675	0	0	41778393	49791346	0	0	83991	25425	0	0	0	0	2492236	3202361
SRX3316554	2010190	0	82.30150892063602	0	0	42202441	51277846	0	0	58909	23556	0	0	0	0	2560279	4422471
SRX3316555	1941006	0	82.0025389741451	0	0	36957393	45068596	0	0	80287	25439	0	0	0	0	2046498	4017973
SRX3316556	1630916	0	82.38991747720041	0	0	39385078	47803274	0	0	34785	24577	0	0	0	0	2611335	4116583
SRX3316557	2067946	0	84.40463922289415	0	0	44478944	52697274	0	0	89982	30847	0	0	0	0	2514275	3515280
SRX3316558	1936518	0	84.6069332226125	0	0	37901664	44797350	0	0	240378	26224	0	0	0	0	2122118	2570448
SRX3316559	2508250	0	82.42510093432986	0	0	42557799	51632086	0	0	476312	27362	0	0	0	0	2594559	3467804
SRX3316560	2043746	0	83.16151471902604	0	0	43426291	52219216	0	0	866742	24737	0	0	0	0	2038646	3819054
SRX3316561	2837996	0	81.55083539949203	0	0	43793040	53700296	0	0	176131	31172	0	0	0	0	2348683	4513274
SRX3316625	2205604	0	84.41019502047905	0	0	42186036	49977418	0	0	39728	21217	0	0	0	0	2472906	3051927
SRX3316626	2848120	0	82.4981280474201	0	0	40238688	48775274	0	0	52193	25562	0	0	0	0	2251677	3359034
SRX3316627	2057214	0	84.27494492987883	0	0	42711250	50680840	0	0	27519	21763	0	0	0	0	2494200	3368894
SRX3316628	2224680	0	83.33055452408772	0	0	42202921	50645194	0	0	82130	28932	0	0	0	0	2503859	3602672
SRX3316629	1767464	0	84.84689789984806	0	0	39807446	46916796	0	0	66226	27026	0	0	0	0	2189783	3058851
SRX3316630	2667668	0	83.54959094267308	0	0	50504675	60448740	0	0	82152	31957	0	0	0	0	3084769	4077519
SRX3316631	1983120	0	84.8018579865421	0	0	47694590	56242388	0	0	85046	29864	0	0	0	0	2819495	3630273
SRX3316632	1814684	0	85.06592399229184	0	0	40262185	47330568	0	0	124890	20969	0	0	0	0	2168804	2939036
SRX3316633	2659544	0	82.94795432937096	0	0	39294304	47372240	0	0	70083	25363	0	0	0	0	2123405	3199541
SRX3316634	2104726	0	82.80696929084614	0	0	40879295	49366974	0	0	33048	25950	0	0	0	0	2614480	3709475
SRX3316735	10618242	0	68.87710615360987	0	0	39483881	57325116	0	0	2342725	21327	0	0	0	0	2246349	2612592
SRX3316736	9243964	0	75.06923579437124	0	0	46983467	62586846	0	0	160956	28143	0	0	0	0	2904867	3265449
SRX3316737	10774934	0	73.13981426311041	0	0	47749986	65285900	0	0	216151	30598	0	0	0	0	2976655	3537576
SRX3316738	8848546	0	73.85892599033316	0	0	43794758	59295146	0	0	206643	28016	0	0	0	0	2800225	3616958
SRX3316739	8348936	0	73.89404083437647	0	0	37643522	50942568	0	0	47223	20311	0	0	0	0	2252426	2630150
SRX3316740	12059320	0	61.63822288006503	0	0	24384669	39560954	0	0	33013	7721	0	0	0	0	1109422	1966809
SRX3316741	10236652	0	69.50713410003175	0	0	52993429	76241712	0	0	5062923	30238	0	0	0	0	3373174	4545296
SRX3316742	8519892	0	75.22103391474432	0	0	44146951	58689636	0	0	52293	26158	0	0	0	0	2807521	3136821
SRX3316743	9121918	0	74.06856190120811	0	0	43331716	58502170	0	0	49549	25953	0	0	0	0	2729209	3243825
SRX3316744	5661486	0	55.69495834836926	0	0	8766431	15740080	0	0	23885	2899	0	0	0	0	361620	923759
SRX3316745	15121554	0	57.660079090622	0	0	26485372	45933638	0	0	132178	8133	0	0	0	0	937497	3248904
SRX3316746	14954210	0	57.76146290303522	0	0	25507447	44159974	0	0	116633	7913	0	0	0	0	933010	2640761
SRX3316747	12230852	0	69.16932479917239	0	0	37431889	54116314	0	0	144364	17102	0	0	0	0	1915208	2376899
SRX3316748	8199892	0	74.08989148754368	0	0	39339606	53097130	0	0	58637	23934	0	0	0	0	2515325	2959736
SRX3316749	11445032	0	69.13030466584458	0	0	34654253	50128888	0	0	69448	14801	0	0	0	0	1802509	2142845
SRX3316750	8455984	0	74.40590761556692	0	0	40825959	54869244	0	0	55103	24200	0	0	0	0	2543038	2964960
